,country,Under5_mortality_rate,Primary_school_net_enrolment_ratio,drinkingwater_services,sanitation_service,DTP1β,DTP3β,polio3,MCV1,MCV2,HepB3,Hib3,rota,PCV3,mobile_phone,internet,pop_total,pop_under5,pop_urbanized,label
0,Afghanistan,70.0,96.375438,62.98020808041154,39.22043325001997,73.0,65.0,60.0,62.0,39.0,65.0,65.0,0.0,65.0,66.0037444621795,10.5957264186601,34656.032,5232.848,27.132,3
1,Albania,14.0,95.51731,91.39433316358014,97.69065534071956,99.0,98.0,98.0,96.0,98.0,98.0,98.0,0.0,98.0,105.062312386278,66.363444701023,2926.348,177.372,58.376,2
2,Algeria,25.0,97.06215,93.46642652733445,87.4876863565245,96.0,91.0,91.0,94.0,96.0,91.0,91.0,0.0,61.0,117.020110194964,42.9455268800332,40606.052,4699.122,71.304,0
3,Andorra,3.0,91.47561799999998,100.0,100.0,99.0,98.0,98.0,97.0,90.0,94.0,98.0,0.0,92.0,87.1897331551916,97.9306371220021,77.281,3.4105331011812834,84.612,2
4,Angola,83.0,84.01231,41.00586761679718,39.42942284072073,79.0,64.0,66.0,49.0,26.0,64.0,64.0,53.0,58.0,55.2756468732335,13.0,28813.463,5277.122,44.819,3
5,Antigua and Barbuda,9.0,87.04613,96.73918627627089,87.50428238441519,99.0,99.0,86.0,98.0,87.0,99.0,99.0,0.0,0.0,194.082636073493,73.0,100.963,8.062,23.393,0
6,Argentina,11.0,99.34679,99.62730018966528,94.83988146231593,97.0,92.0,87.0,90.0,88.0,92.0,92.0,75.0,82.0,150.665684874642,70.1507643146044,43847.43,3735.764,91.893,2
7,Armenia,13.0,96.07425,98.9236524346622,91.58276665231094,97.0,94.0,96.0,97.0,97.0,94.0,94.0,94.0,94.0,114.779632084066,62.0,2924.816,202.199,62.558,2
8,Australia,4.0,97.03283,99.96870195,100.0,98.0,94.0,94.0,95.0,94.0,94.0,94.0,87.0,94.0,109.606468193503,88.2386580521762,24125.848,1551.188,89.554,2
9,Austria,4.0,94.646796,100.0,99.97337502529925,99.0,87.0,87.0,95.0,89.0,87.0,87.0,61.0,0.0,166.138910757442,84.3233312921004,8712.137,411.629,66.032,0
10,Azerbaijan,31.0,94.14265,84.37787213955988,89.34908083424935,98.0,97.0,98.0,98.0,98.0,97.0,97.0,0.0,97.0,106.284568780669,78.2,9725.376,890.505,54.895,2
11,Bahamas,11.0,97.52022,97.79174973248787,92.01119676522791,95.0,94.0,94.0,89.0,74.0,94.0,94.0,0.0,94.0,91.818188770243,80.0,391.232,27.533,82.951,2
12,Bahrain,8.0,96.4285,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,216.925830475868,97.9999807024146,1425.171,106.665,88.835,2
13,Bangladesh,34.0,90.50861,97.3271424809628,46.92459322988456,99.0,97.0,97.0,94.0,93.0,97.0,97.0,0.0,97.0,77.8824057358143,18.2469380029449,162951.56,15235.546,35.035,2
14,Barbados,12.0,91.02247,98.13116782954546,96.45610169026946,99.0,97.0,97.0,92.0,87.0,97.0,97.0,0.0,96.0,114.995032694218,79.5493978888735,284.996,17.292,31.415,2
15,Belarus,4.0,95.3602,98.0055556034675,94.25397986371257,99.0,98.0,98.0,98.0,98.0,96.0,11.0,0.0,0.0,124.169522472505,71.1130457603832,9480.042,579.397,77.046,0
16,Belgium,4.0,98.94778,100.0,99.48606060740595,99.0,98.0,98.0,96.0,85.0,97.0,97.0,87.0,94.0,111.012910761725,86.5165,11358.379,642.735,97.897,2
17,Belize,15.0,96.14116,97.12880364401212,87.15720230319904,98.0,95.0,96.0,95.0,96.0,95.0,95.0,0.0,0.0,63.8706155776774,44.57574032,366.954,40.298,43.845,0
18,Benin,98.0,95.86662,67.01728670188487,13.93011224582028,86.0,82.0,78.0,74.0,0.0,82.0,82.0,0.0,75.0,79.6483020808002,11.994047908223,10872.298,1775.445,44.395,3
19,Bhutan,32.0,85.5824,97.5586608517347,62.87050065048755,99.0,98.0,97.0,97.0,90.0,98.0,98.0,0.0,0.0,88.7809311933895,41.7726445321672,797.765,69.819,39.377,0
