,country,area
0,Afghanistan,South Asia
1,Albania,Eastern Europe and Central Asia
2,Algeria,Middle East and North Africa
3,Andorra,Western Europe
4,Angola,Eastern and Southern Africa
5,Antigua and Barbuda,Latin America and Caribbean
6,Argentina,Latin America and Caribbean
7,Armenia,Eastern Europe and Central Asia
8,Australia,East Asia and Pacific
9,Austria,Western Europe
10,Azerbaijan,Eastern Europe and Central Asia
11,Bahamas,Latin America and Caribbean
12,Bahrain,Middle East and North Africa
13,Bangladesh,South Asia
14,Barbados,Latin America and Caribbean
15,Belarus,Eastern Europe and Central Asia
16,Belgium,Western Europe
17,Belize,Latin America and Caribbean
18,Benin,West and Central Africa
19,Bhutan,South Asia
20,Bolivia (Plurinational State of),Latin America and Caribbean
21,Bosnia and Herzegovina,Eastern Europe and Central Asia
22,Botswana,Eastern and Southern Africa
23,Brazil,Latin America and Caribbean
24,Brunei Darussalam,East Asia and Pacific
25,Bulgaria,Eastern Europe and Central Asia
26,Burkina Faso,West and Central Africa
27,Burundi,Eastern and Southern Africa
28,Cabo Verde,West and Central Africa
29,Cambodia,East Asia and Pacific
30,Cameroon,West and Central Africa
31,Canada,North America
32,Central African Republic,West and Central Africa
33,Chad,West and Central Africa
34,Chile,Latin America and Caribbean
35,China,East Asia and Pacific
36,Colombia,Latin America and Caribbean
37,Comoros,Eastern and Southern Africa
38,Congo,West and Central Africa
39,Cook Islands,East Asia and Pacific
40,Costa Rica,Latin America and Caribbean
41,Côte d'Ivoire,West and Central Africa
42,Croatia,Eastern Europe and Central Asia
43,Cuba,Latin America and Caribbean
44,Cyprus,Western Europe
45,Czechia,Western Europe
46,Democratic People's Republic of Korea,East Asia and Pacific
47,Democratic Republic of the Congo,West and Central Africa
48,Denmark,Western Europe
49,Djibouti,Eastern and Southern Africa
50,Dominica,Latin America and Caribbean
51,Dominican Republic,Latin America and Caribbean
52,Ecuador,Latin America and Caribbean
53,Egypt,Middle East and North Africa
54,El Salvador,Latin America and Caribbean
55,Equatorial Guinea,West and Central Africa
56,Eritrea,Eastern and Southern Africa
57,Estonia,Western Europe
58,Ethiopia,Eastern and Southern Africa
59,Fiji,East Asia and Pacific
60,Finland,Western Europe
61,France,Western Europe
62,Gabon,West and Central Africa
63,Gambia,West and Central Africa
64,Georgia,Eastern Europe and Central Asia
65,Germany,Western Europe
66,Ghana,West and Central Africa
67,Greece,Western Europe
68,Grenada,Latin America and Caribbean
69,Guatemala,Latin America and Caribbean
70,Guinea,West and Central Africa
71,Guinea–Bissau,West and Central Africa
72,Guyana,Latin America and Caribbean
73,Haiti,Latin America and Caribbean
74,Honduras,Latin America and Caribbean
75,Hungary,Western Europe
76,Iceland,Western Europe
77,India,South Asia
78,Indonesia,East Asia and Pacific
79,Iran (Islamic Republic of),Middle East and North Africa
80,Iraq,Middle East and North Africa
81,Ireland,Western Europe
82,Israel,Middle East and North Africa
83,Italy,Western Europe
84,Jamaica,Latin America and Caribbean
85,Japan,East Asia and Pacific
86,Jordan,Middle East and North Africa
87,Kazakhstan,Eastern Europe and Central Asia
88,Kenya,Eastern and Southern Africa
89,Kiribati,East Asia and Pacific
90,Kuwait,Middle East and North Africa
91,Kyrgyzstan,Eastern Europe and Central Asia
92,Lao People's Democratic Republic,East Asia and Pacific
93,Latvia,Western Europe
94,Lebanon,Middle East and North Africa
95,Lesotho,Eastern and Southern Africa
96,Liberia,West and Central Africa
97,Libya,Middle East and North Africa
98,Liechtenstein,Western Europe
99,Lithuania,Western Europe
100,Luxembourg,Western Europe
101,Madagascar,Eastern and Southern Africa
102,Malawi,Eastern and Southern Africa
103,Malaysia,East Asia and Pacific
104,Maldives,South Asia
105,Mali,West and Central Africa
106,Malta,Western Europe
107,Marshall Islands,East Asia and Pacific
108,Mauritania,West and Central Africa
109,Mauritius,Eastern and Southern Africa
110,Mexico,Latin America and Caribbean
111,Micronesia (Federated States of),East Asia and Pacific
112,Monaco,Western Europe
113,Mongolia,East Asia and Pacific
114,Montenegro,Eastern Europe and Central Asia
115,Morocco,Middle East and North Africa
116,Mozambique,Eastern and Southern Africa
117,Myanmar,East Asia and Pacific
118,Namibia,Eastern and Southern Africa
119,Nauru,East Asia and Pacific
120,Nepal,South Asia
121,Netherlands,Western Europe
122,New Zealand,East Asia and Pacific
123,Nicaragua,Latin America and Caribbean
124,Niger,West and Central Africa
125,Nigeria,West and Central Africa
126,Niue,East Asia and Pacific
127,Norway,Western Europe
128,Oman,Middle East and North Africa
129,Pakistan,South Asia
130,Palau,East Asia and Pacific
131,Panama,Latin America and Caribbean
132,Papua New Guinea,East Asia and Pacific
133,Paraguay,Latin America and Caribbean
134,Peru,Latin America and Caribbean
135,Philippines,East Asia and Pacific
136,Poland,Western Europe
137,Portugal,Western Europe
138,Qatar,Middle East and North Africa
139,Republic of Korea,East Asia and Pacific
140,Republic of Moldova,Eastern Europe and Central Asia
141,Romania,Eastern Europe and Central Asia
142,Russian Federation,Eastern Europe and Central Asia
143,Rwanda,Eastern and Southern Africa
144,Saint Kitts and Nevis,Latin America and Caribbean
145,Saint Lucia,Latin America and Caribbean
146,Saint Vincent and the Grenadines,Latin America and Caribbean
147,Samoa,East Asia and Pacific
148,San Marino,Western Europe
149,Sao Tome and Principe,West and Central Africa
150,Saudi Arabia,Middle East and North Africa
151,Senegal,West and Central Africa
152,Serbia,Eastern Europe and Central Asia
153,Seychelles,Eastern and Southern Africa
154,Sierra Leone,West and Central Africa
155,Singapore,East Asia and Pacific
156,Slovakia,Western Europe
157,Slovenia,Western Europe
158,Solomon Islands,East Asia and Pacific
159,Somalia,Eastern and Southern Africa
160,South Africa,Eastern and Southern Africa
161,South Sudan,Eastern and Southern Africa
162,Spain,Western Europe
163,Sri Lanka,South Asia
164,State of Palestine,Middle East and North Africa
165,Sudan,Eastern and Southern Africa
166,Suriname,Latin America and Caribbean
167,Swaziland,Eastern and Southern Africa
168,Sweden,Western Europe
169,Switzerland,Western Europe
170,Syrian Arab Republic,Middle East and North Africa
171,Tajikistan,Eastern Europe and Central Asia
172,Thailand,East Asia and Pacific
173,The former Yugoslav Republic of Macedonia,Eastern Europe and Central Asia
174,Timor–Leste,East Asia and Pacific
175,Togo,West and Central Africa
176,Tokelau,East Asia and Pacific
177,Tonga,East Asia and Pacific
178,Trinidad and Tobago,Latin America and Caribbean
179,Tunisia,Middle East and North Africa
180,Turkey,Eastern Europe and Central Asia
181,Turkmenistan,Eastern Europe and Central Asia
182,Tuvalu,East Asia and Pacific
